DI5208-I|BP2010|270칼라플랜 C14 클라레레드|삼원||||||||||||
LPM005-2|BP1740|300그문드 엑스트라코튼_코튼크림|서경|1|27|동진재단|||||||||재단 (110*230)
BH0210|BP1625|250올드밀BIANCO|삼원|4|3|코리아|코리아||코리아||||||먹1도/톰슨
BE046_P|BP1103|110인견한지|대한|2|6|코리아|코리아||코리아|예지가||||25|1도/톰슨/풀바리
1812FL|BP1668|90쉽스킨_White|두성|2|6|코리아|코리아||코리아|예지가||||15|uv인쇄별색 1도(pantone 877u)/톰슨/풀발이 /DDE001SB 공용목형
BC5319|BP1649|240코튼플랜|대한|3|4|||코리아|코리아||||||블루 펄(크루즈 컬러릿 Pearl 99019 블루펄)/톰슨
TGJSD04B1||216클래식크래스트에그쉘C03 베어화이트||4|4||||||||||
BC5316|BP1506|230킨니_네추럴화이트|대한|4|3||코리아||코리아||올팩|||20|먹1도/톰슨
BC5317|BP1509|250코튼엠보_백색|대한|2|5||코리아||코리아||올팩|||20|먹1도/톰슨(BC5317/BC5318 공용목형)
BC5318|BP1506|230킨니_네추럴화이트|대한|2|5||코리아|코리아|코리아||올팩|||20|무광금박(KBS_G18)/톰슨(BC5317/BC5318 공용목형)
BC5204|BP1506|230킨니_네추럴화이트|대한|3|4||코리아|코리아|코리아||올팩|||22|전면원색4도/투명홀로박(무지)/톰슨
sample_seal_SEASHELL||sws_sea_shell||1|15||||||||||샘플 (200eaOPP벌크포장)/양면테이프 x
sample_in_paper2025|BP2013|90페르가백색_Blanco||2|4|코리아|코리아||||||||먹1도/재단(343*185)
1212TR_2|BP2001|130_대한트레싱지|대한|2|6||||코리아|예지가|||||10/22 발주건이지만, 생산불량으로 종이만 재발주
1813MT|BP1759|110비비칼라_32|두성|2|4||||코리아|예지가|||||톰슨(1813WH, 1813PB, 1813MT 동일칼선)
1813NV|BP1793|120오슬로 A14 인디고|서경|3|3||||코리아|예지가|||||1813BR, 1813NV 동일칼선
1813PB|BP1758|116엔티랏샤_144|두성|2|4|바른|||코리아|예지가|||16||톰슨(1813WH, 1813PB, 1813MT 동일칼선)
2010PB|BP1758|116엔티랏샤_144|두성|2|5||||코리아|예지가|||16||톰슨(2010MT, 2010PB, P_2010WH 동일칼선)
BH8816|BP1408|185비비칼라(31)|두성|2|6|||코리아|코리아|예지가|||||박(무금박)/톰슨(BH7242 공용칼선)/풀발이(봉투뚜껑 펼쳐서 입고)
1813NW|BP1778|135칼라플랜_05 내추럴 화이트|삼원|2|4||||코리아|예지가|||||톰슨/풀발이/1813NW,1813BC,1813MG공용목형사용
1813BC|BP2016|135칼라플랜_15비터초콜릿|삼원|2|4||||코리아|예지가|||||톰슨/풀발이/1813NW,1813BC,1813MG공용목형사용
1813MG|BP2015|135칼라플랜_28미드그린|삼원|2|4||||코리아|예지가|||||톰슨/풀발이/1813NW,1813BC,1813MG공용목형사용
sealing_leaf_RG_K||SW_LEAF_RG||8|25||||||||||
TGOSLRE01B1|||||||||||||||
1414SK|BP0164|130컨셉트레싱지|두성|2|5||||코리아|예지가||||20,000|톰슨/풀발이
BR-85NV|BP1793|120오슬로 A14 인디고|서경|4|5||||코리아||올팩|||26|톰슨
DP055|BP1997|230뉴킨니_네추럴화이트_디지털인쇄용|대한|5|1||||||||||315*465
DP063|BP2014|뉴킨니300 8절|대한|5|1||||||||||272x394
DP051|DP051|90아트스티커_디지털인쇄|대한||||||||||||315x465
DP062|DP062|120킨니 8절|대한||||||||||||272x394
DP043|DP043|300오슬로 A02 스톤그레이|서경|5|1|코리아|||||||||315*465 재단
DP064|BP2014|뉴킨니300 8절|대한|5|1||||||||||272x394
BI383|BP1997|230뉴킨니_네추럴화이트|대한|4|10|코리아|||||||||재단
BC5334|BP1544|160킨니_네추럴화이트|대한|3|4|코리아|코리아|||예지가|||||전면 원색4도
BC5335|BP1544|160킨니_네추럴화이트|대한|3|4|코리아|코리아|||예지가|||||전면 원색4도
BC5336|BP1544|160킨니_네추럴화이트|대한|3|4|코리아|코리아|||예지가|||||전면 원색4도
BC5337|BP1544|160킨니_네추럴화이트|대한|3|4|코리아|코리아|||예지가|||||전면 원색4도
BC5338|BP2034|116디자이너스칼라_S11|두성|2|8|코리아|코리아||||||||박_유광금박(ITW_220)
BC5339|BP2035|116디자이너스칼라_Y04|두성|2|8|코리아|코리아||||||||박_유광금박(ITW_220)
BC5340|BP2036|116디자이너스칼라_E07|두성|2|8|코리아|코리아||||||||박_적박(ITW_A31적)
BC5341|BP2034|116디자이너스칼라_S11|두성|3|4|코리아|코리아|||예지가|||||박_무광금박 (ITW_311)
BC5342|BP2037|116디자이너스칼라_E68|두성|3|4|코리아|코리아|||예지가|||||박_유광은박(ITW_100)
BC5343|BP2009|116디자이너스칼라N52|두성|3|4|코리아|코리아|||예지가|||||박_무광금박 (ITW_311)
DP013|DP013|190코튼엠보_디지털인쇄용|대한|5|1||||||||||315*465
DDE001W|예지가|120킨니_내츄럴화이트|대한|6|||||예지가|||||90,000|
DDE006W|예지가|120킨니_내츄럴화이트|대한|3|||||예지가|||||18,000|
DDE002G|예지가|120G레자크83 쥐색|대한|15|||||예지가|||||11,250|
